Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,NCES ID,Supervisory Union (ID) Number [District] 2020-21,Total Schools,Agency Type [District] 2020-21,Start of Year Status [District] 2020-21,Lowest Grade Offered,Highest Grade Offered,Total Students,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
21ST CENTURY CHARTER SCH OF GARY,Indiana,IN,1800046,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1264,58.79,21.5
21ST CENTURY CYBER CS,Pennsylvania,PA,4200091,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,2503,72.79,34.39
21ST CENTURY PREPARATORY SCHOOL AGENCY,Wisconsin,WI,5500045,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,513,28.8,17.81
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,NM,3500187,,1,7-Independent Charter District,3-New,4th Grade,8th Grade,351,24.2,14.5
A E R O  SPEC EDUC COOP,Illinois,IL,1700024,,7,9-Specialized public school district,1-Open,–,–,†,†,†
A W BEATTIE CAREER CENTER,Pennsylvania,PA,4280010,,1,9-Specialized public school district,1-Open,9th Grade,12th Grade,7,31,0.23
A W BROWN LEADERSHIP ACADEMY,Texas,TX,4800095,,2,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,1383,76.79,18.01
A+ ACADEMY,Texas,TX,4800203,,2,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,1456,92.87,15.68
A+ ARTS ACADEMY,Ohio,OH,3900305,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,559,30,18.63
A+ CHARTER SCHOOLS (1000166),ARIZONA,AZ,0400998,,1,7-Independent Charter District,3-New,7th Grade,12th Grade,163,–,–
A+ CHILDREN'S ACADEMY,Ohio,OH,3901480,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,109,9,12.11
A+ UNLIMITED POTENTIAL,TEXAS,TX,4801453,,1,7-Independent Charter District,1-Open,6th Grade,8th Grade,152,6.91,22
A-C CENTRAL CUSD 262,Illinois,IL,1700105,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,392,–,–
A. LINWOOD HOLTON GOV SCH,Virginia,VA,5100033,,1,9-Specialized public school district,1-Open,Ungraded,Ungraded,0,†,–
A.C.E. ACADEMY,North Carolina,NC,3700372,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,396,16.66,23.77
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MN,2700106,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,869,64.62,13.45
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,LA,2200056,,1,8-Other education agencies,1-Open,Kindergarten,8th Grade,390,18,21.67
ABBEVILLE 60,South Carolina,SC,4500690,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2924,221,13.23
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,WI,5500030,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,760,59.04,12.87
ABBOTT ISD,Texas,TX,4807380,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,274,25.13,10.9
ABBOTT UNION FREE SCHOOL DISTRICT,New York,NY,3602300,,0,1-Regular local school district that is NOT a component of a supervisory union,6-Inactive,–,–,†,†,†
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,MA,2500051,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1425,115.12,12.38
ABC UNIFIED,California,CA,0601620,,30,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,19540,822.59,23.75
ABERDEEN DISTRICT,Idaho,ID,1600030,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,688,48.24,14.26
ABERDEEN SCHOOL DIST,Mississippi,MS,2800360,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1081,87.37,12.37
ABERDEEN SCHOOL DISTRICT,Washington,WA,5300030,,12,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3308,163.9,20.18
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,SD,4602070,,10,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4485,300.39,14.93
ABERNATHY ISD,Texas,TX,4807410,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,810,72.55,11.16
ABILENE,Kansas,KS,2003180,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1535,98.71,15.55
ABILENE ISD,Texas,TX,4807440,,30,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,15680,1110.18,14.12
ABINGDON-AVON CUSD 276,Illinois,IL,1701413,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,939,–,–
ABINGTON,Massachusetts,MA,2501650,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2117,132.43,15.99
ABINGTON HEIGHTS SD,Pennsylvania,PA,4202010,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3351,220,15.23
ABINGTON SD,Pennsylvania,PA,4202040,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,8359,569.35,14.68
ABQ SCHOOL OF EXCELLENCE,New Mexico,NM,3500122,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,905,58.62,15.44
ABQ SIGN LANGUAGE ACADEMY,New Mexico,NM,3500123,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,111,13,8.54
ABRAMSON SCI ACADEMY,LOUISIANA,LA,2200237,,1,7-Independent Charter District,1-Open,9th Grade,13th Grade,630,32,19.69
ABSAROKEE ELEM,Montana,MT,3001710,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,105,11.98,8.76
ABSAROKEE H S,Montana,MT,3001740,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,74,7.35,10.07
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,NJ,3400660,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,893,80,11.16
ACADEMIA ANTONIA ALONSO,Delaware,DE,1000053,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,612,41,14.93
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,CA,0602291,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,293,13.5,21.7
ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,MN,2700185,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,545,34.43,15.83
ACADEMIA MODERNA DISTRICT,CALIFORNIA,CA,0602361,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,446,18,24.78
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,MI,2600330,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,81,5.51,14.7
ACADEMIC ARTS HIGH SCHOOL,Minnesota,MN,2700361,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,89,8.33,10.68
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,NY,3601001,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,640,25,25.6
ACADEMICS PLUS CHARTER SCHOOL,Arkansas,AR,0500059,,3,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1645,102.16,16.1
ACADEMIE LAFAYETTE,Missouri,MO,2900017,,3,7-Independent Charter District,1-Open,Prekindergarten,9th Grade,1201,84.99,14.13
ACADEMY CHARTER HIGH SCHOOL,New Jersey,NJ,3400048,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,162,18,9
ACADEMY CHARTER SCHOOL,New York,NY,3600997,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1782,109.95,16.21
ACADEMY CHARTER SCHOOL-UNIONDALE,NEW YORK,NY,3601169,,1,7-Independent Charter District,1-Open,Kindergarten,9th Grade,463,31.83,14.55
ACADEMY DEL SOL INC. (90199),Arizona,AZ,0400797,,2,7-Independent Charter District,1-Open,Kindergarten,8th Grade,704,–,–
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,TX,4800093,,4,7-Independent Charter District,1-Open,5th Grade,12th Grade,308,56,5.5
ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT,CALIFORNIA,CA,0601911,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1466,65.82,22.27
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,MI,2600166,,2,7-Independent Charter District,1-Open,Kindergarten,12th Grade,539,32.9,16.38
ACADEMY FOR INTEGRATED ARTS,Missouri,MO,2900604,,1,7-Independent Charter District,1-Open,Prekindergarten,6th Grade,255,17.5,14.57
ACADEMY FOR MATH ENGINEERING & SCIENCE,Utah,UT,4900017,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,464,–,–
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,NH,3300040,,2,7-Independent Charter District,1-Open,6th Grade,12th Grade,541,34,15.91
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,NJ,3400741,,1,7-Independent Charter District,1-Open,7th Grade,12th Grade,486,46,10.57
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,OH,3901472,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,218,6,36.33
ACADEMY ISD,Texas,TX,4807470,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1726,125.91,13.71
ACADEMY OF ACCELERATED LEARNING INC,Texas,TX,4800032,,1,7-Independent Charter District,1-Open,Prekindergarten,7th Grade,851,46.65,18.24
ACADEMY OF BUILDING INDUSTRIES INC. (85540),Arizona,AZ,0400414,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,93,–,–
ACADEMY OF DALLAS,Texas,TX,4800090,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,341,21.85,15.61
ACADEMY OF DOVER CHARTER SCHOOL,Delaware,DE,1000017,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,329,25,13.16
ACADEMY OF EDUCATIONAL EXCELLENCE,Ohio,OH,3901502,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,85,8.25,10.3
ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,NEW YORK,NY,3601190,,1,7-Independent Charter District,1-Open,5th Grade,6th Grade,206,12.67,16.26
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,DC,1100094,,0,7-Independent Charter District,1-Open,Adult Education,Adult Education,0,0.00,†
ACADEMY OF MATHEMATICS AND SCIENCE INC. (79961),Arizona,AZ,0400368,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,634,–,–
ACADEMY OF MATHEMATICS AND SCIENCE INC. (92768),ARIZONA,AZ,0400940,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,1158,–,–
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC. (90878),Arizona,AZ,0400891,,6,7-Independent Charter District,1-Open,Kindergarten,8th Grade,6008,–,–
ACADEMY OF MEDIA ARTS DISTRICT,CALIFORNIA,CA,0602503,,1,7-Independent Charter District,1-Open,9th Grade,10th Grade,63,5,12.6
ACADEMY OF SEMINOLE CHARTER,OKLAHOMA,OK,4000803,,2,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,295,14.16,20.83
ACADEMY OF THE CITY CHARTER SCHOOL,New York,NY,3601053,,1,7-Independent Charter District,1-Open,Kindergarten,7th Grade,631,0.00,†
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),Massachusetts,MA,2500021,,1,7-Independent Charter District,1-Open,5th Grade,12th Grade,540,55,9.82
ACADEMY OF TUCSON INC. (78897),Arizona,AZ,0400202,,3,7-Independent Charter District,1-Open,Kindergarten,12th Grade,578,–,–
ACADEMY OF WARREN,Michigan,MI,2600308,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,644,35.85,17.96
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,CO,0801920,,40,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,25711,1606.82,16
ACADEMY WITH COMMUNITY PARTNERS  INC (79213),Arizona,AZ,0400276,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,118,–,–
ACADIA ACADEMY,MAINE,ME,2314831,,1,7-Independent Charter District,1-Open,Prekindergarten,6th Grade,257,15,17.13
ACADIA PARISH,Louisiana,LA,2200030,,27,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,9603,509.22,18.86
ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,LA,2200231,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1417,65.48,21.64
ACALANES UNION HIGH,California,CA,0601650,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,5535,283.97,19.49
ACCELERATED ACHIEVEMENT ACADEMY DISTRICT,CALIFORNIA,CA,0601877,,1,7-Independent Charter District,1-Open,4th Grade,12th Grade,144,7.86,18.32
ACCELERATED CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CA,0601471,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,495,19,26.05
ACCELERATED DISTRICT,CALIFORNIA,CA,0601732,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,752,35,21.49
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS (6364),Arizona,AZ,0400129,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,233,–,–
ACCELERATED INTERMEDIATE ACADEMY,Texas,TX,4800192,,2,7-Independent Charter District,1-Open,Prekindergarten,7th Grade,235,14.99,15.68
ACCELERATED LEARNING CENTER INC. (4297),Arizona,AZ,0400121,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,168,–,–
ACCELERATION DAY AND EVENING ACADEMY,ALABAMA,AL,0100197,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,331,13,25.46
ACCEPT EDUCATION COLLABORATIVE,MASSACHUSETTS,MA,2500578,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
ACCLAIM CHARTER SCHOOL (4325),Arizona,AZ,0400122,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,291,–,–
ACCOMACK CO PBLC SCHS,Virginia,VA,5100060,,13,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4863,303.98,16
ACE ACADEMY (SDA),Michigan,MI,2600943,,1,7-Independent Charter District,1-Open,4th Grade,12th Grade,136,5.75,23.65
ACE CHARTER HIGH DISTRICT,CALIFORNIA,CA,0601561,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,430,17,25.29
ACE EMPOWER ACADEMY DISTRICT,CALIFORNIA,CA,0602217,,1,7-Independent Charter District,1-Open,5th Grade,8th Grade,223,9,24.78
ACE ESPERANZA MIDDLE DISTRICT,CALIFORNIA,CA,0601852,,1,7-Independent Charter District,1-Open,5th Grade,8th Grade,244,9.5,25.68
ACE INSPIRE ACADEMY DISTRICT,CALIFORNIA,CA,0602138,,1,7-Independent Charter District,1-Open,5th Grade,8th Grade,239,8.5,28.12
ACE PREPARATORY ACADEMY,INDIANA,IN,1800172,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,161,10,16.1
ACES TECHNICAL CHARTER SCHOOL,NEW MEXICO,NM,3500185,,1,7-Independent Charter District,3-New,6th Grade,6th Grade,45,7,6.43
ACHIEVE ACADEMY DISTRICT,CALIFORNIA,CA,0602165,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,607,24.5,24.78
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,OH,3901362,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,105,6,17.5
ACHIEVE CHARTER ACADEMY,Michigan,MI,2600963,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,792,34.52,22.94
ACHIEVE CHARTER HIGH DISTRICT,CALIFORNIA,CA,0601615,,0,7-Independent Charter District,6-Inactive,–,–,†,†,†
ACHIEVE CHARTER SCHOOL OF PARADISE INC. DISTRICT,CALIFORNIA,CA,0602133,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,216,10,21.6
ACHIEVE COMMUNITY CHARTER SCHOOL,NEW JERSEY,NJ,3400792,,1,7-Independent Charter District,1-Open,Kindergarten,7th Grade,184,18,10.22
ACHIEVE LANGUAGE ACADEMY,Minnesota,MN,2700118,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,450,35.99,12.5
ACHIEVEMENT CHARTER ACADEMY,NORTH CAROLINA,NC,3700459,,1,7-Independent Charter District,3-New,Kindergarten,5th Grade,166,11,15.09
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,New York,NY,3601028,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,919,29,31.69
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,NY,3601109,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,865,19,45.53
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT,Connecticut,CT,0900208,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1127,63,17.89
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,NY,3600969,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1207,26.66,45.27
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,NY,3600147,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1299,47.39,27.41
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,NY,3600149,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1215,40.31,30.14
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,NY,3600170,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,857,35,24.49
ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT,Connecticut,CT,0900212,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1163,88,13.22
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,NY,3601112,,1,7-Independent Charter District,1-Open,Kindergarten,7th Grade,737,22,33.5
ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,NEW YORK,NY,3601124,,1,7-Independent Charter District,1-Open,Kindergarten,7th Grade,778,12,64.83
ACHIEVEMENT FIRST RHODE ISLAND,Rhode Island,RI,4400021,,5,7-Independent Charter District,1-Open,Kindergarten,8th Grade,1772,86,20.6
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,NEW YORK,NY,3601143,,1,7-Independent Charter District,1-Open,1st Grade,8th Grade,219,4,54.75
ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,New York,NY,3600166,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,943,38.43,24.54
ACHIEVEMENT HOUSE CS,Pennsylvania,PA,4200128,,1,7-Independent Charter District,1-Open,7th Grade,12th Grade,928,46.86,19.8
ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,DC,1100072,,1,7-Independent Charter District,1-Open,Prekindergarten,3rd Grade,263,26,10.12
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,TN,4700147,,27,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,9027,474.67,19.02
ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,OHIO,OH,3901602,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,169,8,21.13
ACHIEVERS EARLY COLLEGE PREP CHARTER SCHOOL,NEW JERSEY,NJ,3400794,,1,7-Independent Charter District,1-Open,6th Grade,8th Grade,264,7,37.71
ACHILLE,Oklahoma,OK,4002370,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,311,21.98,14.15
ACKERMAN CHARTER,California,CA,0601680,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,571,26.4,21.63
ACORN MONTESSORI CHARTER SCHOOL (79437),Arizona,AZ,0400320,,2,7-Independent Charter District,1-Open,Kindergarten,8th Grade,492,–,–
ACT ACADEMY CYBER CS,Pennsylvania,PA,4200868,,0,7-Independent Charter District,6-Inactive,–,–,†,†,†
ACTON PUBLIC SCHOOLS,Maine,ME,2302220,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,217,21,10.33
ACTON-AGUA DULCE UNIFIED,California,CA,0600001,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,919,46.62,19.71
ACTON-BOXBOROUGH,Massachusetts,MA,2501710,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,5207,405.26,12.85
ACUSHNET,Massachusetts,MA,2501740,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,910,68.25,13.33
AD PRIMA CS,Pennsylvania,PA,4200129,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,651,42,15.5
ADA,Oklahoma,OK,4002430,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2423,179.31,13.51
ADA EXEMPTED VILLAGE,Ohio,OH,3904518,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,839,54.95,15.27
ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,MN,2700126,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,619,49.25,12.57
ADAIR,Oklahoma,OK,4002460,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,988,66.51,14.85
ADAIR CO. R-I,Missouri,MO,2922980,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,206,22.05,9.34
ADAIR CO. R-II,Missouri,MO,2905790,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,143,23,6.22
ADAIR COUNTY,Kentucky,KY,2100030,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2594,172,15.08
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,IA,1903090,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,260,23.7,10.97
ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE,Illinois,IL,1700162,,6,8-Other education agencies,1-Open,Prekindergarten,12th Grade,–,–,–
ADAMS 1 MAPLETON AU,Colorado,CO,0800258,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
ADAMS 12 FIVE STAR SCHOOLS,Colorado,CO,0806900,,53,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,36654,2053.7,17.85
ADAMS 12 NORTHGLENN AU,Colorado,CO,0800268,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
ADAMS 14 COMMERCE CITY AU,Colorado,CO,0800272,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
ADAMS 27J SCHOOL DISTRICT 27J AU,Colorado,CO,0800237,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,IN,1800060,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1343,94.6,14.2
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,NE,3102770,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,965,73.44,13.14
ADAMS COUNTY BOCES,Colorado,CO,0800009,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,0.00,–
ADAMS COUNTY OHIO VALLEY LOCAL,Ohio,OH,3906190,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3585,224.8,15.95
ADAMS COUNTY TECHNICAL INSTITUTE,PENNSYLVANIA,PA,4200905,,1,9-Specialized public school district,3-New,11th Grade,12th Grade,6,0.00,†
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,MI,2601890,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,453,30.09,15.05
ADAMS-ARAP 28J AURORA AU,Colorado,CO,0800255,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,WI,5500060,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1309,120.73,10.84
ADDISON CENTRAL SCHOOL DISTRICT,New York,NY,3602370,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1047,94,11.14
ADDISON CENTRAL SUPERVISORY UNION,Vermont,VT,5099903,003 ,0,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),1-Open,†,†,†,28.52,–
ADDISON CENTRAL UNIFIED SCHOOL DISTRICT,VERMONT,VT,5000402,003 ,9,2-Local school district that is a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1742,136.24,12.79
ADDISON COMMUNITY SCHOOLS,Michigan,MI,2601920,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,763,43.26,17.64
ADDISON NORTHWEST SUPERVISORY UNION,Vermont,VT,5099902,002 ,0,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),1-Open,†,†,†,0.00,–
ADDISON NORTHWEST UNIFIED SCHOOL DISTRICT,VERMONT,VT,5000398,002 ,3,2-Local school district that is a component of a supervisory union,1-Open,Prekindergarten,12th Grade,914,82.87,11.03
ADDISON SD 4,Illinois,IL,1703150,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,3666,–,–
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,IA,1903150,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2110,134.16,15.73
ADEL SD 21,Oregon,OR,4100990,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,10th Grade,25,1,25
ADELANTE CHARTER DISTRICT,CALIFORNIA,CA,0602343,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,302,13,23.23
ADELANTE SCHOOLS,INDIANA,IN,1800216,,1,7-Independent Charter District,3-New,Kindergarten,8th Grade,347,20,17.35
ADELANTO ELEMENTARY,California,CA,0601710,,15,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,7817,365.99,21.36
ADELINE MONTESSORI SCHOOL INC AGENCY,WISCONSIN,WI,5500089,,0,7-Independent Charter District,7-Future,–,–,†,†,†
ADENA LOCAL,Ohio,OH,3904949,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1165,56.6,20.58
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,NY,3605040,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1176,88.21,13.33
ADLAI E STEVENSON HSD 125,Illinois,IL,1732580,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,4315,–,–
ADMIRAL PEARY AVTS,Pennsylvania,PA,4280120,,1,9-Specialized public school district,1-Open,9th Grade,12th Grade,16,16,1
