Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,NCES ID,Supervisory Union (ID) Number [District] 2020-21,Total Schools,Agency Type [District] 2020-21,Start of Year Status [District] 2020-21,Lowest Grade Offered,Highest Grade Offered,Total Students,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
KENT COUNTY PUBLIC SCHOOLS,Maryland,MD,2400450,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1812,165,10.98
KENT ISD,Michigan,MI,2680620,,10,9-Specialized public school district,1-Open,Prekindergarten,12th Grade,2829,303.91,9.31
KENT SCHOOL DISTRICT,Connecticut,CT,0902040,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,207,25,8.28
KENT SCHOOL DISTRICT,Washington,WA,5303960,,44,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,25720,1444.29,17.81
KENTFIELD ELEMENTARY,California,CA,0619380,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,1097,63.43,17.29
KENTON CITY,Ohio,OH,3910025,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1841,105.13,17.51
KENTON COUNTY,Kentucky,KY,2103090,,22,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,14021,779.97,17.98
KENTUCKY EDUCATIONAL DEVELOPMENT CORPORATION,Kentucky,KY,2100101,,0,4-Regional Education Service Agency (RESA),1-Open,†,†,†,†,†
KENTUCKY SCHOOL FOR THE BLIND DISTRICT,Kentucky,KY,2100094,,1,5-State agency providing elementary and/or secondary level instruction,1-Open,Kindergarten,12th Grade,63,0.00,†
KENTUCKY SCHOOL FOR THE DEAF DISTRICT,Kentucky,KY,2100095,,1,5-State agency providing elementary and/or secondary level instruction,1-Open,Prekindergarten,12th Grade,73,0.00,†
KENTUCKY TECH SYSTEM,Kentucky,KY,2100289,,57,5-State agency providing elementary and/or secondary level instruction,1-Open,8th Grade,12th Grade,16,0.00,†
KENTUCKY VALLEY EDUCATIONAL CORPORATION,Kentucky,KY,2100104,,0,4-Regional Education Service Agency (RESA),1-Open,†,†,†,†,†
KENTWOOD PUBLIC SCHOOLS,Michigan,MI,2620340,,16,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,9228,525.55,17.56
KENWOOD,Oklahoma,OK,4016320,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,70,6,11.67
KENWOOD,California,CA,0619410,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,6th Grade,131,6.95,18.85
KENYON-WANAMINGO SCHOOL DISTRICT,Minnesota,MN,2717100,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,726,48.85,14.86
KEOKUK COMM SCHOOL DISTRICT,Iowa,IA,1915630,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1863,123.01,15.15
KEOTA,Oklahoma,OK,4016350,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,423,33.89,12.48
KEOTA COMM SCHOOL DISTRICT,Iowa,IA,1915660,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,323,28.47,11.35
KEPLER NEIGHBORHOOD DISTRICT,CALIFORNIA,CA,0601862,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,371,17.13,21.66
KEPPEL UNION ELEMENTARY,California,CA,0619440,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,2594,100,25.94
KERENS ISD,Texas,TX,4825530,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,570,48.62,11.72
