Tool,UID,Activity ID,Content Partner,Activity Name
Connect,-KqilM2xWovC-Hudmvjn,617,Core Knowledge,Hui Zong's Defeat
Connect,-Kqisu7eUfGfGvjRvT2W,618,Core Knowledge,The Mongol Invasion of China
Connect,-KqigC-G1kUp_pEeQJjl,619,Core Knowledge,Shihuangdi Unifies China
Connect,-KqYkktoWRhHby2187G8,621,Core Knowledge,The Rock Cycle
Connect,-KqYgUp3xAAJYxZtX2yr,622,Core Knowledge,Fold Mountains
Connect,-KqYd2Nk25H2e3fdkwcs,623,Core Knowledge,Hydrothermal Vents
Connect,-KqcjgL00W0ro-Wr4Bts,627,Core Knowledge,Hernan Cortes
Connect,-KqcdV5JA9uU.S.Y09VvOP,628,Core Knowledge,Maya Mystery
Proofreader,-KqZ1GcvRyn-0x5ph2KS,629,Core Knowledge,Tenochtitlán
Connect,-KqcTJxEiuq07PJzbDIc,630,Core Knowledge,The Royal Road
Connect,-KqZQ1fZyO-Lz5UwooN2,632,Core Knowledge,Vascular and Non-vascular Plants
Connect,-KqZLtzic921c7eDVc1D,633,Core Knowledge,Plants in the Food Chain
Connect,-KqZIkV8V3_92A2ajc4u,634,Core Knowledge,Plant Cells and Animal Cells
Connect,-KqZECh5ZxntzLDB-xQK,635,Core Knowledge,Parts of Vascular Plants
Connect,-KqZpAZ8UMhwZp_3ezqw,640,Core Knowledge,Renaissance Beginnings in Italy
Connect,-KqZvArG8422vhwB7rIo,641,Core Knowledge,The Medici Family
Connect,-KqZldiOXNWbJNFvIRY-,642,Core Knowledge,Humanism
Connect,-KqdGWI1rgvtQBg2vIb0,643,Core Knowledge,The Northern Renaissance
Connect,-KqY7BQmhDn71y-E-s3C,728,Core Knowledge,The War Begins at Lexington and Concord
Connect,-KqYNoENpFXSttDu-xPf,729,Core Knowledge,Turning Point: Bunker Hill
Connect,-KqYPpC3o3JeeuhQadBF,730,Core Knowledge,Turning Point: Saratoga
Connect,-KqYK5A0fNos0ZbUjjOu,731,Core Knowledge,The War Ends at Yorktown
Proofreader,-L8ZGcyIM49GOsX_uOPN,747,Core Knowledge,Sputnik 1
Connect,-LAo-erEroO6r6XV1tAV,756,Core Knowledge,International Space Station
Connect,-KhO2hv2Wl8rVCHp1B1G,860,Core Knowledge,Hernando de Soto
