NCESSCH,free_lunches
10111000409,65
10111000814,73
10111000818,0
10111001785,93
10114000411,89
10114000412,94
10114000415,58
10114000416,67
10114000418,63
10114000419,59
10114000421,72
10114000422,59
10114000423,88
10114000424,70
10114000425,80
10114000819,0
10114000830,0
10114000832,0
10114001860,76
10117000081,54
10117000426,56
10117000427,92
10117000428,96
10117000429,60
10117000430,30
10117000431,41
10117000432,89
10117000433,65
10117000434,86
10117000435,89
10117000436,55
10117000437,47
10117000438,76
10117001615,83
10117001631,0
10117001728,45
10117001786,44
10117002090,0
10117002175,76
10120000148,57
10120000439,62
10120000441,65
10120000442,64
10123000443,35
10123000444,76
10123000445,65
10123000447,75
10123000448,67
10123000449,95
10123000450,35
10123000452,30
10123000454,87
10123000456,83
10123001331,0
10123001349,0
10123001447,56
10123001448,32
10123001449,71
10123001499,44
10123001500,74
10123001501,43
10123001817,58
10123001873,0
10126000460,71
10126000461,69
10126001354,0
10129000102,56
10129000463,53
10129000465,50
10129000468,56
10129000470,62
10129000471,46
10129000833,64
10129000834,0
10129001432,62
10129001451,61
10129001660,62
10129001768,57
10129001769,58
10129002142,30
10129002147,56
10132000473,55
10132000474,35
10132000475,32
10132000476,32
10132000477,43
10132000478,47
10132000479,22
10132000480,48
10132000481,54
10132001719,46
10132001867,48
10135000482,95
10135000484,90
10135000485,93
10135000487,54
10135000488,78
10135000489,57
10135000492,74
10135000840,0
10135000841,0
10135001409,0
10135001504,62
10135001505,77
10135001506,79
10135001661,89
10138000493,69
10138000494,73
10138000496,68
10138000497,52
10138000498,43
10138000499,57
10138000500,52
10138000501,71
10138000502,53
10138000503,76
10138000505,56
10138000506,37
10138000507,74
10138000508,77
10138000509,60
10138000845,0
10138000849,0
10138000853,0
10138001507,54
10138001508,41
10138001509,34
10138001662,46
10138002076,35
10141000510,0
10141000511,60
10141000513,73
10141000514,70
10141001510,73
10141001874,0
10144000515,85
10144000516,82
10144000517,80
10144000518,70
10144000519,87
10144001361,0
10144001363,0
10147000521,59
10147000523,60
10147000525,52
10147001512,61
10147001514,60
10147001787,47
10153000528,48
10153000531,55
10153000532,45
10153000534,92
10153000535,97
10153000536,61
10153001644,0
10153001663,0
10153001664,64
10156000538,56
10156000539,66
10156001365,62
10156001750,67
10159000541,69
10159000542,64
10159000544,65
10159000545,59
10159000547,83
10159000548,73
10159000860,0
10159001861,72
10159001869,84
10162000551,88
10162000552,96
10162000553,66
10162000555,27
10162000559,82
10162000563,57
10162000564,95
10162000565,92
10162001368,67
10162001369,0
10162001517,97
10162001646,0
10162001650,0
10162001665,97
10162001666,96
10162001824,73
10164000567,56
10164000568,63
10164001788,59
10166000570,56
10166000571,73
10166001519,58
10166001771,78
10166001772,76
10166001791,71
10166001792,64
10166001793,71
10166001794,67
10168000576,91
10168000578,95
10168000864,0
10168001452,91
10168001520,96
10168002181,0
