"id","uid","parent_id","parent_uid","question_uid","author","text","feedback","count","first_attempt_count","child_count","optimal","weak","concept_results","created_at","updated_at","spelling_error"
8830806,NULL,NULL,NULL,"-KdCcbo8BK-kJqgPObbc",NULL,"Mariana ate salad for lunch yesterday.",NULL,1,1,0,NULL,false,"{""RPNqOZuka_n8RESKbBF8OQ"": false}","2018-10-10 14:07:21.148343","2019-03-08 21:06:29.264",false
8830809,NULL,NULL,NULL,"-KdCcwDIhHsDCZcJ9YPW",NULL,"Mariana ate salad for lunch yesterday.",NULL,2,2,0,NULL,false,"{""TE-ElKaRWWumTrmVE4-m6g"": false}","2018-10-10 14:07:23.255616","2018-11-30 21:14:53.588",false
8830817,NULL,20692,NULL,"-KdCdCkL84VCZfaLDJue","Missing Details Hint","Mariana ate salad for lunch yesterday.","Revise your work. Do you have all of the information from the prompt?",1,1,0,NULL,false,"{}","2018-10-10 14:07:25.571869","2018-12-01 00:46:09.29",false
24861643,NULL,7247422,NULL,"-LL06ObXOMvlS5G_Kvml","Focus Point Hint","Mariana ate salad for lunch yesterday.","<br/>",1,1,0,NULL,NULL,"{""jfT_DIDPPchihdlkMRNyuA"": false}","2019-11-21 21:01:44.425309","2019-11-21 21:01:44.425309",false
20040,"-KdCbiLG8bPstZo1U7bz",NULL,NULL,"-KdCbiGL0xjiiPQ-vYLz",NULL,"Mariana ate salad for lunch yesterday.","<p>That's a great sentence!</p>",70586,68980,15969,true,NULL,"{""TE-ElKaRWWumTrmVE4-m6g"": true}","2017-07-28 01:15:46.031157","2017-07-28 01:15:46.031157",false
7326669,"-KdCbiLG8bPstZo1U7bz",NULL,NULL,"-LL5_rYu2Dgth8RUbilQ",NULL,"Mariana ate salad for lunch yesterday.","<br/>",327957,303519,119149,true,NULL,"{""TE-ElKaRWWumTrmVE4-m6g"": true}","2018-08-30 00:54:18.139","2018-08-30 00:54:18.139",false
